name,state_id,created_at,updated_at
Boca da Mata,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Bom Jardim,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Bonifacio,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Branquinha,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Cacimbinhas,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Cajarana,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Cajueiro,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Caldeiroes de Cima,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Camadanta,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Campestre,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Campo Alegre,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Campo Grande,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Canaa,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Canafistula,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Canapi,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Canastra,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Cangandu,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Capela,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Carneiros,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Carrasco,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Cha Preta,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Coite do Noia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Colonia Leopoldina,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Coqueiro Seco,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Coruripe,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Coruripe da Cal,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Craibas,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Delmiro Gouveia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Dois Riachos,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Entremontes,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Estrela de Alagoas,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Feira Grande,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Feliz Deserto,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Fernao Velho,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Flexeiras,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Floriano Peixoto,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Gaspar,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Girau do Ponciano,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Ibateguara,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Igaci,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Igreja Nova,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Inhapi,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Jacare dos Homens,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Jacuipe,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Japaratinga,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Jaramataia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Jenipapo,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Joaquim Gomes,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Jundia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Junqueiro,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa da Areia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa da Canoa,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa da Pedra,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa Dantas,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa do Caldeirao,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa do Canto,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa do Exu,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lagoa do Rancho,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Lajes do Caldeirao,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Laranjal,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Limoeiro de Anadia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Maceio,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Major Isidoro,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Mar Vermelho,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Maragogi,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Maravilha,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Marechal Deodoro,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Maribondo,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Massaranduba,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Mata Grande,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Matriz de Camaragibe,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Messias,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Minador do Negrao,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Monteiropolis,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Moreira,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Munguba,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Murici,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Novo Lino,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Olho D Agua Grande,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Olho D''agua Das Flores,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Olho D''agua De Cima,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Olho D''agua Do Casado,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Olho D''agua Dos Dandanhas,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Olivenca,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Ouro Branco,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Palestina,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Palmeira de Fora,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Palmeira dos Indios,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pao de Acucar,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pariconha,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Paripueira,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Passo de Camaragibe,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pau D''arco,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pau Ferro,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Paulo Jacinto,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Penedo,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Piacabucu,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pilar,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pindoba,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Piranhas,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Pocao,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Poco da Pedra,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Poco das Trincheiras,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Porto Calvo,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Porto de Pedras,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Porto Real do Colegio,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Poxim,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Quebrangulo,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Riacho do Sertao,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Riacho Fundo de Cima,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Rio Largo,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Rocha Cavalcante,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Roteiro,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Santa Efigenia,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Santa Luzia do Norte,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Santana do Ipanema,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Santana do Mundau,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
Santo Antonio,0d6eabd2-88c3-4579-b64e-57198d9f783c,2025-01-08 14:51:46,2025-01-08 14:51:46
